platform,title,url,author,view,like,has_subtitle,relevance,depth,clarity,has_math,has_code,audience,recommend,reason,video_id,duration,publish_time,subtitle_language,subtitle_source
bilibili,【操作】利用ArcGIS进行主成分分析（PCA）,http://www.bilibili.com/video/av254953832,三千思丶,12252,142,False,3,2,5,False,False,科普,no,仅演示ArcGIS操作，无原理讲解，不适合作为PCA教学资源。,BV1vY411n7A8,382,2022-03-21T13:12:35+08:00,,
bilibili,主成分分析法（PCA）SPSS+EXCEL操作教学,http://www.bilibili.com/video/av229743557,落幕De晨曦,189642,3306,False,10,3,7,False,False,本科入门,no,视频仅演示软件操作步骤，缺乏PCA原理、数学推导和实际应用讲解，不适合作为完整教学资源。,BV1ah411T7vp,956,2023-06-11T15:18:36+08:00,,
bilibili,origin绘制主成分分析(PCA)图,http://www.bilibili.com/video/av768688036,研渣渣的学习笔记,297970,3499,False,4,1,5,False,False,科普,no,视频仅演示用Origin绘制PCA图，缺乏PCA原理讲解与数学推导，不适合作为教学资源。,BV1Ar4y187eD,472,2022-05-01T09:36:12+08:00,,
bilibili,PCA主成分分析课件例题，不用管为什么，跟着做！,http://www.bilibili.com/video/av114670862081823,数千年,11389,312,False,8,2,6,True,False,本科入门,no,视频仅演示计算步骤，缺乏原理讲解，不适合作为系统性教学资源。,BV1hoMwzhERC,1043,2025-06-13T04:59:44+08:00,,
youtube,主成分分析(PCA)の気持ち,https://www.youtube.com/watch?v=Etjrjx6iSsQ,予備校のノリで学ぶ「大学の数学・物理」,83106,0,False,10,7,7,True,False,本科入门,yes,直观展示PCA思想，但缺少数学推导和代码实践，适合作为入门辅助材料。,Etjrjx6iSsQ,2109,,,
youtube,主成分分析（PCA）の仕組みを理解して動かしてみよう,https://www.youtube.com/watch?v=9sn0b3tml50,K_DM,9387,0,False,10,5,4,False,False,本科入门,no,视频无字幕且为日语讲解，可能影响非日语母语者理解，且缺乏字幕文本评估清晰度。,9sn0b3tml50,457,,,
youtube,[Compressing Information with Correlation] Understanding the Mindset of Principal Component Analy...,https://www.youtube.com/watch?v=mMmTHoZKWTI,AIcia Solid Project,86722,0,False,9,5,7,False,False,本科入门,yes,视频从相关性和信息压缩角度讲解PCA思维，时长适中，适合入门理解，但缺乏数学推导和代码演示。,mMmTHoZKWTI,1489,,,
youtube,主成分分析（PCA）,https://www.youtube.com/watch?v=FD4DeN81ODY,Visually Explained,416960,0,True,10,9,9,True,False,本科进阶,yes,包含完整的PCA数学推导和特征值解释，讲解清晰，适合本科进阶教学，但无代码实现。,FD4DeN81ODY,388,,en,youtube_transcript
youtube,【5分で分かる】主成分分析について簡単に解説！,https://www.youtube.com/watch?v=5uEp2g35qEU,スタビジ【誰でもAIデータサイエンス】byウマたん,46650,0,False,10,2,5,False,False,科普,yes,仅作为5分钟科普入门，帮助建立直观理解，但缺乏数学推导与深度，不适合系统学习。,5uEp2g35qEU,329,,,
youtube,主成分分析の最大の特徴である『次元の縮約』の考え方をサクッと理解できる！,https://www.youtube.com/watch?v=ar8VGpNgwt4,データサイエンスLab.,18537,0,False,10,3,8,False,False,科普,yes,视频直接讲解PCA降维概念，适合快速入门理解，但缺乏数学和代码演示，且为日语无字幕，可能限制中文使用者。,ar8VGpNgwt4,737,,,
youtube,主成分分析（PCA）（OriginPro / 動画で学ぶ操作方法）,https://www.youtube.com/watch?v=XcJPYdHhm_o,LightstoneCorp,923,0,False,8,3,6,False,False,科普,no,该视频主要演示如何使用OriginPro软件进行PCA操作，缺乏对PCA原理的讲解，不适合作为理论教学资源。,XcJPYdHhm_o,361,,,
youtube,【線形代数】主成分分析 - ←は対称行列の固有ベクトルを順に見るだけ【行列20主成分分析への応用】 #162 #VRアカデミア #線型代数入門,https://www.youtube.com/watch?v=R5oOco7BG2E,AIcia Solid Project,9180,0,False,9,7,7,True,False,本科入门,yes,视频从线性代数角度讲解PCA的数学原理，适合本科入门学习。,R5oOco7BG2E,1659,,,
youtube,『主成分スコア』『固有値』『寄与率』による、主成分分析結果の基礎的な解釈ができる！,https://www.youtube.com/watch?v=bBEKlulWPH4,データサイエンスLab.,23165,0,False,10,5,7,True,False,本科入门,yes,视频聚焦于PCA结果的基本解释，包含特征值与贡献率等数学内容，适合初学者。,bBEKlulWPH4,693,,,
youtube,"StatQuest: Principal Component Analysis (PCA), Step-by-Step",https://www.youtube.com/watch?v=FgakZw6K1QQ,StatQuest with Josh Starmer,3614391,0,True,10,8,10,True,False,本科入门,yes,视频用逐步图解方式清晰讲解PCA原理和SVD，适合本科入门系统学习，但缺乏代码实现环节。,FgakZw6K1QQ,1318,,zh-Hans,youtube_transcript
youtube,主成分分析（PCA）,https://www.youtube.com/watch?v=fkf4IBRSeEc,Steve Brunton,488014,0,True,10,8,9,True,False,本科进阶,yes,详细讲解了PCA的统计解释和SVD方法，数学推导清晰，适合深入学习但缺少代码演示。,fkf4IBRSeEc,826,,en,youtube_transcript
youtube,【機械学習入門】主成分分析(PCA)をさくっと理解する,https://www.youtube.com/watch?v=PbOuHnAYML0,みんなのケモメトリックス,503,0,False,9,5,6,False,False,本科入门,yes,该视频为PCA入门讲解，适合初学者快速理解概念，但深度有限。,PbOuHnAYML0,819,,,
youtube,30分鐘讀懂主成分分析,https://www.youtube.com/watch?v=JUPU8mJryL4,李政軒,12961,0,False,10,7,8,True,False,本科入门,yes,以簡單方式講解PCA原理，適合初學者建立基本概念，但缺乏程式實作和深入數學推導。,JUPU8mJryL4,1800,,,
youtube,什么是降维算法，PCA主成分分析的原理详解,https://www.youtube.com/watch?v=WquvZBWzI5Q,小黑黑讲AI,7016,0,False,10,8,6,True,False,本科入门,yes,视频标题显示为PCA原理详解，内容目标明确，适合作为PCA教学资源，但缺少字幕可能影响部分学习者理解。,WquvZBWzI5Q,479,,,
youtube,【奥村准教授解説】07_主成分分析,https://www.youtube.com/watch?v=6W--S_tMBHI,滋賀大学データサイエンス【公式】,167,0,False,10,7,6,True,False,本科入门,yes,视频为大学数据科学课程，系统讲解PCA，适合作为入门教学资源。,6W--S_tMBHI,1230,,,
